artist,genre,occurrences,track_name
Kings of Leon,Rock,570134,Trunk
Justin Bieber,Pop,184234,Bigger
Coldplay,Rock,170525,Daylight
Modest Mouse,Rock,166119,Head South
Metric,Rock,157329,Breathing Underwater
Lady Gaga,Pop,153527,Disco Heaven
Radiohead,Rock,152411,Feral
Kid Cudi,Rap,120653,Alive (nightmare)
Eminem,Rap,106276,Like Toy Soldiers
Daft Punk,Electronic,105469,Digital Love
John Mayer,Rock,105176,Bigger Than My Body
The New Pornographers,Rock,102137,Daughters of Sorrow
The Smiths,Rock,97981,This Charming Man (New York Vocal)
Enya,New Age,97682,We Wish You a Merry Christmas
Jack Johnson,Rock,94424,Crying Shame
Katherine Jenkins,Rock,91448,Bring Me To Life
Florence + the Machine,Rock,90490,Howl
Rise Against,Rock,89708,Architects
Metallica,Metal,89118,The Memory Remains
Muse,Rock,83527,Follow Me
The Killers,Rock,81665,Show You How
Guns N' Roses,Rock,81642,Live and Let Die
Weezer,Rock,80887,Let It All Hang Out
Pixies,Rock,79115,Break My Body
Vampire Weekend,Rock,79059,I Think Ur a Contra
The Barden Bellas,Pop,78443,Party In The U.S.A.
Plain White T's,Rock,78264,Tearin' Us Apart
Arcade Fire,Rock,76105,Signs of Life
The Decemberists,Rock,73198,Yankee Bayonet (I Will Be Home Then)
Black Eyed Peas,Rap,70667,Ba Bump
Bon Iver,Folk,67613,The Wolves (Act I and II)
The Prodigy,Electronic,66838,Thunder (Bang Gang Remix)
LCD Soundsystem,Electronic,64208,Yeah (Pretentious Mix)
Evanescence,Rock,63908,Made of Stone
Taylor Swift,Country,63830,A Perfectly Good Heart
Arctic Monkeys,Rock,60844,Chun Li's Spinning Bird Kick
Foals,Rock,59033,After Glow
Gorillaz,Rock,56421,Demon Days
Justice,Electronic,56003,Waters of Nazareth
Toby Keith,Country,54333,You Shouldn't Kiss Me Like This
Third Eye Blind,Pop,54149,Never Let You Go
Cake,Rock,53364,Daria
Röyksopp,Electronic,53228,Circuit Breaker
Local Natives,Rock,53122,Stranger Things
Crystal Castles,Electronic,52711,Plague
Ice Cube,Rap,52472,It Was A Good Day
Faith No More,Rock,51536,Get Out
Andrew Bird,Rock,51347,Action/Adventure
Yellowcard,Rock,51192,Rough Draft
blink-182,Rock,50365,Don't Leave Me
A Perfect Circle,Rock,49833,Crimes
Four Tet,Electronic,49348,And They All Look Broken Hearted
Luke Bryan,Country,48717,Tackle Box
Foo Fighters,Rock,48365,I'm In Love With A German Film Star
Shakira,Pop,48095,Dreams for Plans
Anberlin,Rock,48067,A Heavy Hearted Work Of Staggering Genius
Incubus,Rock,47276,Sick Sad Little World
Creedence Clearwater Revival,Rock,46411,Don't Look Now
Thievery Corporation,Electronic,46345,Retaliation Suite
Massive Attack,Electronic,46191,Daydreaming (Luv It Dub)
Beirut,Folk,45357,The Shrew
Brand New,Rock,45287,137
Snow Patrol,Rock,45049,Favourite Friend
Dashboard Confessional,Rock,43289,The Shade Of Poison Trees
Billy Currington,Country,43072,Must Be Doin' Somethin' Right
The Mars Volta,Rock,42718,Plant A Nail In the Navel Stream
Lily Allen,Pop,42035,Everything's Just Wonderful
Chromeo,Electronic,41989,Way Too Much
AFI,Rock,41702,Perfect Fit
Air,Electronic,41652,Heaven's Light
Neutral Milk Hotel,Rock,41632,Oh Comely
The White Stripes,Rock,40711,300 M.P.H. Torrential Outpour Blues
Broken Social Scene,Rock,40683,Superconnected
Boys Noize,Electronic,40636,Trooper
Two Door Cinema Club,Rock,40624,Costume Party
Bullet for My Valentine,Metal,40132,Her Voice Resides
A Day to Remember,Rock,39775,If It Means a Lot to You
Elliott Smith,Rock,39689,Kiwi Maddog 20/20
Bright Eyes,Rock,39217,Light Pollution
Interpol,Rock,39095,Complications
Holy Fuck,Electronic,38915,Tonebank Computer
Dr. Dre,Rap,38869,Bitch Niggaz
Nirvana,Rock,38240,Blew
Morcheeba,Electronic,38080,On The Rhodes Again
Eddie Vedder,Rock,37993,Society
Colbie Caillat,Pop,37900,Bubbly
Korn,RnB,37341,Word Up!
Bloodhound Gang,Rock,36862,Rip Taylor Is God
OK Go,Rock,36531,"Television, Television"
M83,Electronic,36522,Couleurs
Placebo,Rock,34938,One of a Kind
Kelly Clarkson,Pop,34799,Just Missed the Train
We the Kings,Rock,34682,Headlines Read Out...
Mogwai,Rock,34623,I Do Have Weapons
In Flames,Metal,34530,Bullet Ride
Silversun Pickups,Rock,34391,Creation Lake
Blur,Rock,34303,Optigan 1
Breaking Benjamin,Rock,34029,Break My Fall
Eric Church,Country,33825,What I Almost Was
Soundgarden,Rock,33668,Been Away Too Long
The Kooks,Rock,33134,Naïve
Nightwish,Metal,32694,Stone People
Ratatat,Electronic,32623,Bruleé
Saliva,Rock,32469,Badass
The Kills,Rock,32291,Ticket Man
Cage the Elephant,Rock,32017,Drones In The Valley
Yeah Yeah Yeahs,Rock,31990,Gold Lion
Bungle,Pop,31672,Down To Earth
Steely Dan,Rock,31640,Midnite Cruiser
Hot Chip,Electronic,30981,Tchaparian
Darius Rucker,Country,29959,History In The Making
Flyleaf,Rock,29528,Cassie
Jimmy Eat World,Rock,29023,Always Be
Devendra Banhart,Folk,28648,Tit Smoking in the Temple of Artesan Mimicry
Gary Allan,Country,28445,Learning How To Bend
Brad Paisley,Country,28392,He Didn't Have To Be
Queens of the Stone Age,Rock,28262,Medication
Apocalyptica,Metal,28166,Path
Belle and Sebastian,Rock,28146,Wandering Alone
Flying Lotus,Electronic,28035,Tesla
Chevelle,Folk,27460,MIA
Alicia Keys,RnB,27437,Wait Til You See My Smile
Ellie Goulding,Pop,27114,Salt Skin
Thrice,Rock,27031,Under Par
The Police,Rock,27021,Does Everyone Stare
Beastie Boys,Rap,26323,Hey Ladies
Melody Gardot,Jazz,26308,Deep Within The Corners Of My Mind
